,Counter,Timestamp,Pressure (kPa),Pump State,Franka Tx,Franka Ty,Franka Tz,Franka Rx,Franka Ry,Franka Rz,Franka Rw
0,0,19-22-47,0.0,0.0,2.03e-322,1.067e-321,1.33e-322,1.344e-321,1.33e-322,1.067e-321,2.03e-322
1,1,19-22-47,1.3134765625,8881.849609375,2.03e-322,1.067e-321,1.33e-322,1.344e-321,1.33e-322,1.067e-321,2.03e-322
2,2,19-22-47,1.416015625,8882.1708984375,2.03e-322,1.067e-321,1.33e-322,1.344e-321,1.33e-322,1.067e-321,2.03e-322
3,3,19-22-47,1.396484375,8882.58203125,2.03e-322,1.067e-321,1.33e-322,1.344e-321,1.33e-322,1.067e-321,2.03e-322
4,4,19-22-47,1.42578125,8883.0517578125,2.03e-322,1.067e-321,1.33e-322,1.344e-321,1.33e-322,1.067e-321,2.03e-322
5,5,19-22-47,1.513671875,8883.490234375,2.03e-322,1.067e-321,1.33e-322,1.344e-321,1.33e-322,1.067e-321,2.03e-322
6,6,19-22-47,1.7919921875,8883.7177734375,2.03e-322,1.067e-321,1.33e-322,1.344e-321,1.33e-322,1.067e-321,2.03e-322
7,7,19-22-47,1.6845703125,8883.9599609375,0.4171775571851457,-0.026504367768697443,0.23363988195663413,0.8073263183928472,-0.43032357836322327,0.35844896367282925,-0.18590366854044782
8,8,19-22-47,1.6943359375,8884.20703125,0.41718104512338444,-0.02629075108275033,0.23363843156052638,0.8074401970408843,-0.4301084396859441,0.3584122755707161,-0.18597768423582817
9,9,19-22-48,1.66015625,8884.4482421875,0.4171758936633512,-0.02630594172182774,0.23363568160779286,0.8074344981176347,-0.43012371584667364,0.3584135206367055,-0.1859646970276215
10,10,19-22-48,1.708984375,8884.732421875,0.41717627373037924,-0.026319617369907997,0.2336263191867014,0.8074302320544133,-0.4301425031109837,0.35840399808633827,-0.18595811769778056
11,11,19-22-48,1.6796875,8885.0068359375,0.4171718625230425,-0.02630143679548839,0.2336258601092452,0.8074420055821607,-0.43012286531057875,0.35839939372180735,-0.18596129419402457
