,Counter,Timestamp,Pressure (kPa),Pump State,Franka Tx,Franka Ty,Franka Tz,Franka Rx,Franka Ry,Franka Rz,Franka Rw
0,0,20-03-08,0.0,0.0,2.03e-322,1.067e-321,1.33e-322,1.344e-321,1.33e-322,1.067e-321,2.03e-322
1,1,20-03-08,1.71875,21495.744140625,2.03e-322,1.067e-321,1.33e-322,1.344e-321,1.33e-322,1.067e-321,2.03e-322
2,2,20-03-08,1.708984375,21495.78515625,2.03e-322,1.067e-321,1.33e-322,1.344e-321,1.33e-322,1.067e-321,2.03e-322
3,3,20-03-08,1.73828125,21495.806640625,2.03e-322,1.067e-321,1.33e-322,1.344e-321,1.33e-322,1.067e-321,2.03e-322
4,4,20-03-08,1.7041015625,21496.04296875,2.03e-322,1.067e-321,1.33e-322,1.344e-321,1.33e-322,1.067e-321,2.03e-322
5,5,20-03-08,1.787109375,21496.15234375,2.03e-322,1.067e-321,1.33e-322,1.344e-321,1.33e-322,1.067e-321,2.03e-322
6,6,20-03-08,2.0947265625,21496.16015625,2.03e-322,1.067e-321,1.33e-322,1.344e-321,1.33e-322,1.067e-321,2.03e-322
7,7,20-03-08,1.943359375,21496.1328125,2.03e-322,1.067e-321,1.33e-322,1.344e-321,1.33e-322,1.067e-321,2.03e-322
8,8,20-03-08,1.796875,21496.1953125,2.03e-322,1.067e-321,1.33e-322,1.344e-321,1.33e-322,1.067e-321,2.03e-322
9,9,20-03-08,1.9580078125,21496.232421875,0.41736238884895216,-0.026463407401921435,0.2344536710021325,0.8067137682844782,-0.4304151875973109,0.3591265593178184,-0.18703950582263182
10,10,20-03-08,1.9677734375,21496.3515625,0.41736059850320356,-0.026468604732967936,0.23443590602054454,0.8067149690897671,-0.4304308501911085,0.3591100021752879,-0.18703007295063634
11,11,20-03-09,2.001953125,21496.404296875,0.4173529938743349,-0.026449933105766238,0.23441393188941134,0.8067317679504418,-0.4304218048415765,0.3590812694033877,-0.1870335971426691
12,12,20-03-09,1.85546875,21496.533203125,0.4173470412403191,-0.0264502870163145,0.23439176775917936,0.806740091437621,-0.43043031774752044,0.35905752953878795,-0.18702368008487555
13,13,20-03-09,1.9140625,21496.6015625,0.4173421741478769,-0.026442180904595342,0.23437345370225926,0.8067517072400198,-0.430427756259944,0.35903541642046255,-0.18702192187582867
